Data de Referência ; Risco de Crédito ; Emissor ; Série ; Emissão ; Código ; Vencimento ; Índice / Correção ; Taxa Compra ; Taxa Venda ; Taxa Indicativa ; Desvio Padrão ; PU ; % PU Par / % VNE ; Duration ; Referência NTNB ; % Reune 
05/06/2026;RAÍZEN ENERGIA S.A.;OPEA SECURITIZADORA S/A;1ª;6ª;CRA019003V2;16/07/2029;100% do DI;;;;;471,23558521;46,17;;;
05/06/2026;SÃO MARTINHO S.A.;RIZA SECURITIZADORA S.A.;3ª;198ª;CRA024004H7;12/04/2029;100% do DI;103,4275;99,1525;101,8891;1,88;1013,25081712;99,38;600,39;;
05/06/2026;Marfrig Global Foods S.A;ECO SECURITIZADORA DE DIREITOS CREDITÓRIOS DO AGRONEGÓCIO S.A.;1ª;387ª;CRA0250018H;15/04/2030;100% do DI;;103,396;106,3898;2,33;991,83410567;97,39;759,81;;
05/06/2026;CYRELA BRAZIL REALTY S.A.;COMPANHIA PROVÍNCIA DE SECURITIZAÇÃO;3ª;57ª;24D2765715;15/04/2031;101% do DI;103,3966;98,93;100,9933;0,41;1018,6525447;100;831,43;;
05/06/2026;ENGELHART CTP ;OPEA SECURITIZADORA S/A;1ª;87ª;CRA023007VD;05/07/2028;101% do DI;98,2333;95,3275;97,2405;0,22;1067,97683666;100,91;445,19;;
05/06/2026;CURY CONSTRUTORA E INCORPORADORA S.A.;TRUE SECURITIZADORA S/A;1ª;309ª;24D3313768;31/05/2027;102% do DI;102,5133;98,285;100,515;0,75;1004,627528;100,19;236,79;;
05/06/2026;MRV;VERT COMPANHIA SECURITIZADORA;1ª;157ª;25G5109813;15/07/2030;102% do DI;;106,5;114,075;7,25;1002,57304817;95,11;760,85;;
05/06/2026;ENGELHART CTP ;OPEA SECURITIZADORA S/A;1ª;83ª;CRA023003UX;15/03/2027;102% do DI;97,3333;94,455;96,5333;0,08;1036,31493055;100,54;184,92;;
05/06/2026;BRF S.A;ECO SECURITIZADORA DE DIREITOS CREDITÓRIOS DO AGRONEGÓCIO S.A.;1ª;403ª;CRA02500669;16/07/2029;102% do DI;;;106,2;3,04;1104,08660202;98,23;778;;
05/06/2026;Cocal Comercio Industria Canaa Acucar e Alcool S.A.;VERT COMPANHIA SECURITIZADORA;1ª;106ª;CRA025008HM;15/09/2031;102% do DI;;106,0;107,4544;3,26;1004,4269486;97,45;871,93;;
05/06/2026;IGUATEMI EMPRESA DE SHOPPING CENTERS S.A.;OPEA SECURITIZADORA S/A;2ª;298ª;24F1126524;15/06/2032;103% do DI;;;102,6933;2,55;1069,04354498;100,16;932,45;;
