Data de Referência ; Risco de Crédito ; Emissor ; Série ; Emissão ; Código ; Vencimento ; Índice / Correção ; Taxa Compra ; Taxa Venda ; Taxa Indicativa ; Desvio Padrão ; PU ; % PU Par / % VNE ; Duration ; Referência NTNB ; % Reune 
11/08/2026;RAÍZEN ENERGIA S.A.;OPEA SECURITIZADORA S/A;1ª;6ª;CRA019003V2;16/07/2029;100% do DI;;;;;420,57315655;41,21;;;
11/08/2026;SÃO MARTINHO S.A.;RIZA SECURITIZADORA S.A.;3ª;198ª;CRA024004H7;12/04/2029;100% do DI;100,8333;97,5;99,7365;0,87;1045,91310031;100,08;557,38;;
11/08/2026;Marfrig Global Foods S.A;ECO SECURITIZADORA DE DIREITOS CREDITÓRIOS DO AGRONEGÓCIO S.A.;1ª;387ª;CRA0250018H;15/04/2030;100% do DI;109,2066;103,9571;105,2619;0,86;1023,1449044;98,01;718,89;;
11/08/2026;BRF S.A.;ECO SECURITIZADORA DE DIREITOS CREDITÓRIOS DO AGRONEGÓCIO S.A.;1ª;434ª;CRA02500BVT;31/12/9999;100% do DI;;;108,5618;6,03;1042,88124978;95,71;960;;
11/08/2026;LOG COMMERCIAL PROPERTIES E PARTICIPAÇÕES S.A.;VERT COMPANHIA SECURITIZADORA;2ª;162ª;25I2731571;15/10/2032;100,5% do DI;;102,4999;103,2669;1,31;1029,12832135;98,56;982,25;;
11/08/2026;CYRELA BRAZIL REALTY S.A.;COMPANHIA PROVÍNCIA DE SECURITIZAÇÃO;3ª;57ª;24D2765715;15/04/2031;101% do DI;100,9033;96,8366;98,9175;0,14;1053,65142287;100,88;792,05;;
11/08/2026;ENGELHART CTP ;OPEA SECURITIZADORA S/A;1ª;87ª;CRA023007VD;05/07/2028;101% do DI;97,4666;93,878;97,2108;0,25;1022,49935447;100,85;429,71;;
11/08/2026;BRF S.A.;ECO SECURITIZADORA DE DIREITOS CREDITÓRIOS DO AGRONEGÓCIO S.A.;1ª;447ª;CRA026002BD;31/12/9999;101,5% do DI;;104,0;105,2663;5,62;1015,03595801;97,92;1045;;35%
11/08/2026;CURY CONSTRUTORA E INCORPORADORA S.A.;TRUE SECURITIZADORA S/A;1ª;309ª;24D3313768;31/05/2027;102% do DI;100,3433;95,925;98,5222;0,8;1031,9091587;100,34;190,02;;
11/08/2026;MRV;VERT COMPANHIA SECURITIZADORA;1ª;157ª;25G5109813;15/07/2030;102% do DI;;109,2;117,0078;3,12;949,53694514;93,99;772,9;;
