Data de Referência ; Risco de Crédito ; Emissor ; Série ; Emissão ; Código ; Vencimento ; Índice / Correção ; Taxa Compra ; Taxa Venda ; Taxa Indicativa ; Desvio Padrão ; PU ; % PU Par / % VNE ; Duration ; Referência NTNB ; % Reune 
12/08/2026;RAÍZEN ENERGIA S.A.;OPEA SECURITIZADORA S/A;1ª;6ª;CRA019003V2;16/07/2029;100% do DI;;;;;420,57315655;41,21;;;
12/08/2026;SÃO MARTINHO S.A.;RIZA SECURITIZADORA S.A.;3ª;198ª;CRA024004H7;12/04/2029;100% do DI;101,01;97,1296;99,5703;2,08;1046,96482229;100,13;556,38;;
12/08/2026;Marfrig Global Foods S.A;ECO SECURITIZADORA DE DIREITOS CREDITÓRIOS DO AGRONEGÓCIO S.A.;1ª;387ª;CRA0250018H;15/04/2030;100% do DI;109,2533;103,9571;105,1773;1,98;1024,01119059;98,04;717,78;;
12/08/2026;BRF S.A.;ECO SECURITIZADORA DE DIREITOS CREDITÓRIOS DO AGRONEGÓCIO S.A.;1ª;434ª;CRA02500BVT;31/12/9999;100% do DI;;103,773;108,0004;6,04;1046,41178175;95,98;959;;
12/08/2026;LOG COMMERCIAL PROPERTIES E PARTICIPAÇÕES S.A.;VERT COMPANHIA SECURITIZADORA;2ª;162ª;25I2731571;15/10/2032;100,5% do DI;;102,256;103,2368;1,16;1029,82490296;98,57;980,96;;
12/08/2026;CYRELA BRAZIL REALTY S.A.;COMPANHIA PROVÍNCIA DE SECURITIZAÇÃO;3ª;57ª;24D2765715;15/04/2031;101% do DI;;;98,8797;0,16;1054,3655261;100,9;790,88;;
12/08/2026;ENGELHART CTP ;OPEA SECURITIZADORA S/A;1ª;87ª;CRA023007VD;05/07/2028;101% do DI;98,97;93,87;97,1975;1,82;1023,04835305;100,85;428,7;;
12/08/2026;BRF S.A.;ECO SECURITIZADORA DE DIREITOS CREDITÓRIOS DO AGRONEGÓCIO S.A.;1ª;447ª;CRA026002BD;31/12/9999;101,5% do DI;;102,2362;104,8416;1,56;1017,97091932;98,15;1044;;45%
12/08/2026;CURY CONSTRUTORA E INCORPORADORA S.A.;TRUE SECURITIZADORA S/A;1ª;309ª;24D3313768;31/05/2027;102% do DI;99,4733;95,525;98,3088;1,51;1032,64929674;100,36;189,03;;
12/08/2026;MRV;VERT COMPANHIA SECURITIZADORA;1ª;157ª;25G5109813;15/07/2030;102% do DI;;111,0723;116,5126;4,08;951,95870791;94,18;771,94;;
12/08/2026;ENGELHART CTP ;OPEA SECURITIZADORA S/A;1ª;83ª;CRA023003UX;15/03/2027;102% do DI;97,9233;92,8233;95,4169;1,18;1062,49682447;100,46;137;;
12/08/2026;BRF S.A;ECO SECURITIZADORA DE DIREITOS CREDITÓRIOS DO AGRONEGÓCIO S.A.;1ª;403ª;CRA02500669;16/07/2029;102% do DI;;103,512;109,488;4,74;1120,26038067;97,14;730;;
12/08/2026;Cocal Comercio Industria Canaa Acucar e Alcool S.A.;VERT COMPANHIA SECURITIZADORA;1ª;106ª;CRA025008HM;15/09/2031;102% do DI;;106,0;106,9266;0,75;1034,75771952;97,83;830,97;;
12/08/2026;RL80 DIRECIONAL;RIZA SECURITIZADORA S.A.;ª;276ª;25F0010202;12/06/2030;102,5% do DI;;;;;;;;;
12/08/2026;DIRECIONAL ENGENHARIA S.A.;OPEA SECURITIZADORA S/A;1ª;331ª;24F1277566;16/07/2029;103% do DI;;96,2204;99,6068;0,24;1022,15837399;101,12;619,03;;
12/08/2026;ENGELHART CTP ;VERT COMPANHIA SECURITIZADORA;1ª;83ª;CRA02300209;15/01/2027;103% do DI;;;94,805;4,84;1015,35350708;100,45;106;;
12/08/2026;MOURA DUBEUX ENGENHARIA S.A.;VERT COMPANHIA SECURITIZADORA;1ª;158ª;25G5313879;15/07/2030;103,75% do DI;;103,8426;104,7692;0,71;1006,81330738;99,59;753,18;;
12/08/2026;3Tentos;OPEA SECURITIZADORA S/A;1ª;201ª;CRA025008N8;15/10/2030;103,75% do DI;110,6983;101,8382;107,2998;1,73;1030,76791524;98,52;785,35;;
12/08/2026;BANCO BTG PACTUAL S.A.;OPEA SECURITIZADORA S/A;1ª;63ª;22J0346710;15/01/2027;104% do DI;;;;;;;;;
12/08/2026;CAMIL ALIMENTOS S.A.;ECO SECURITIZADORA DE DIREITOS CREDITÓRIOS DO AGRONEGÓCIO S.A.;1ª;329ª;CRA0240066A;15/06/2029;104% do DI;;;115,6759;5,42;986,28804616;96,39;593,57;;45%
12/08/2026;Boa Safra II;OPEA SECURITIZADORA S/A;1ª;189ª;CRA025006SR;16/02/2032;104% do DI;;106,4882;107,7402;0,96;991,75342325;98,1;955,34;;
12/08/2026;CEREAL COMÉRCIO EXPORTAÇÃO E REPRESENTAÇÃO AGROPECUÁRIA S.A.;ECO SECURITIZADORA DE DIREITOS CREDITÓRIOS DO AGRONEGÓCIO S.A.;1ª;406ª;CRA025007KD;16/09/2030;104% do DI;;107,5;108,8885;0,83;1037,97363137;98,03;762,72;;
12/08/2026;MINERVA S.A.;RIZA SECURITIZADORA S.A.;1ª;264ª;CRA025002S1;15/04/2030;104,5% do DI;;116,8287;121,2528;5,22;982,55312342;93,88;704,59;;
12/08/2026;MINERVA S.A.;RIZA SECURITIZADORA S.A.;1ª;272ª;CRA025005V5;15/07/2030;104,5% do DI;;115,474;120,6987;5,36;945,99550922;93,57;766,9;;
12/08/2026;ALLOS S.A.;OPEA SECURITIZADORA S/A;2ª;262ª;24D0006602;16/04/2029;105% do DI;;;98,5558;1,45;1066,72784626;101,91;554,88;;
12/08/2026;JHSF IV;OPEA SECURITIZADORA S/A;2ª;450ª;25E0013305;15/05/2030;105% do DI;;;103,5;0,53;1041,09608916;100,59;732,85;;
12/08/2026;BANCO BTG PACTUAL S.A.;OPEA SECURITIZADORA S/A;1ª;124ª;CRA02300TSB;15/12/2033;105% do DI;;;97,9444;3,27;1069,79885859;104,53;1179,15;;
12/08/2026;MINERVA S.A.;RIZA SECURITIZADORA S.A.;1ª;232ª;CRA02400AYL;16/11/2029;105% do DI;122,5933;116,5225;119,2559;4,46;984,9385045;95,16;653,13;;
12/08/2026;Neomille S.A.;ECO SECURITIZADORA DE DIREITOS CREDITÓRIOS DO AGRONEGÓCIO S.A.;3ª;411ª;CRA025008C3;15/12/2032;105% do DI;;108,5;111,2211;1,75;989,68530979;96,7;1001,87;;
12/08/2026;GDM Genética do Brasil S.A.;ECO SECURITIZADORA DE DIREITOS CREDITÓRIOS DO AGRONEGÓCIO S.A.;2ª;398ª;CRA025005EI;15/07/2032;105,75% do DI;114,0616;105,0417;109,0669;2,94;993,48377195;98,25;990,92;;
